normalized_tag,count,raw_tags
general,4965,"{""Algorithms"": 3827, ""Fundamentals"": 1326}"
math,4747,"{""Basic Maths"": 520, ""Math"": 348, ""Mathematical"": 588, ""Mathematics"": 4747, ""math"": 2147}"
data_structures,4531,"{""Data Structures"": 2227, ""Data structures"": 4531, ""Data-Structures"": 1, ""data structures"": 1246}"
implementation,2741,"{""Implementation"": 2741, ""implementation"": 2310}"
greedy,2567,"{""Greedy"": 397, ""Greedy algorithms"": 2567, ""greedy"": 2139}"
dynamic_programming,2454,"{""Dynamic Programming"": 606, ""Dynamic programming"": 2454, ""dp"": 1565, ""dynamic-programming"": 22}"
sorting,2172,"{""Sorting"": 2172, ""sorting"": 20, ""sortings"": 809}"
string,2122,"{""String"": 346, ""String algorithms"": 2122, ""Strings"": 775, ""strings"": 600}"
search_bruteforce,1853,"{""Complete search"": 1853, ""brute force"": 1231}"
constructive,1699,"{""Constructive"": 426, ""Constructive algorithms"": 1699, ""constructive"": 2, ""constructive algorithms"": 1258}"
graph,1596,"{""Graph"": 106, ""Graph algorithms"": 1211, ""Graph traversal"": 899, ""dfs and similar"": 667, ""graphs"": 841}"
arrays,1196,"{""Arrays"": 1196}"
number_theory,1106,"{""Number Theory"": 217, ""Number theory"": 1106, ""number theory"": 543, ""number-theory"": 37}"
binary_search,967,"{""Binary Search"": 195, ""binary search"": 766, ""binary-search"": 6}"
tree_algorithms,837,"{""Tree algorithms"": 837}"
bit_manipulation,833,"{""Bit Manipulation"": 198, ""Bit manipulation"": 832, ""bit manipulation"": 1, ""bit-manipulation"": 3}"
ad_hoc,775,"{""Ad-Hoc"": 139, ""Ad-hoc"": 775, ""ad-hoc"": 361}"
combinatorics,753,"{""Combinatorics"": 753, ""combinatorics"": 461}"
trees,635,"{""Trees"": 60, ""trees"": 575}"
amortized_analysis,564,"{""Amortized analysis"": 564}"
geometry,506,"{""Geometry"": 506, ""geometry"": 339}"
two_pointers,464,"{""Two Pointers"": 43, ""Two pointers"": 32, ""two pointers"": 387, ""two-pointers"": 2}"
bitmasks,376,"{""bitmasks"": 376}"
matrices,360,"{""Matrices"": 360, ""matrices"": 93}"
array,327,"{""Array"": 322, ""array"": 5}"
special,310,"{""*special"": 207, ""Special"": 103}"
game_theory,309,"{""Game Theory"": 63, ""Game theory"": 308, ""game theory"": 1, ""game-theory"": 3}"
observation,309,"{""Observation"": 296, ""observation"": 13}"
spanning_trees,308,"{""Spanning trees"": 308}"
range_queries,280,"{""Range Queries"": 12, ""Range queries"": 273}"
probability,261,"{""Probability"": 261, ""probability"": 3}"
basic_programming_concepts,254,"{""Basic Programming Concepts"": 254}"
dsu,249,"{""dsu"": 249}"
divide_and_conquer,242,"{""Divide and Conquer"": 38, ""Divide and conquer"": 242, ""divide and conquer"": 202}"
shortest_paths,225,"{""Shortest Paths"": 10, ""Shortest paths"": 225, ""shortest paths"": 196}"
puzzles,215,"{""Puzzles"": 215}"
games,200,"{""Games"": 45, ""games"": 155}"
hashing,191,"{""Hashing"": 40, ""hashing"": 151}"
tree,182,"{""Tree"": 181, ""tree"": 1}"
brute_force,166,"{""Brute Force"": 157, ""brute-force"": 9}"
probabilities,165,"{""probabilities"": 165}"
matrix,161,"{""Matrix"": 161}"
recursion,161,"{""Recursion"": 159, ""recursion"": 2}"
searching,160,"{""Searching"": 160}"
flows_and_cuts,156,"{""Flows and cuts"": 156}"
modular_arithmetic,145,"{""Modular Arithmetic"": 139, ""modular arithmetic"": 5, ""modular-arithmetic"": 1}"
hash,142,"{""Hash"": 142}"
