raw_tag,count,normalized_tag
Mathematics,4747,math
Data structures,4531,data_structures
Algorithms,3827,general
Implementation,2741,implementation
Greedy algorithms,2567,greedy
Dynamic programming,2454,dynamic_programming
implementation,2310,implementation
Data Structures,2227,data_structures
Sorting,2172,sorting
math,2147,math
greedy,2139,greedy
String algorithms,2122,string
Complete search,1853,search_bruteforce
Constructive algorithms,1699,constructive
dp,1565,dynamic_programming
Fundamentals,1326,general
constructive algorithms,1258,constructive
data structures,1246,data_structures
brute force,1231,search_bruteforce
Graph algorithms,1211,graph
Arrays,1196,arrays
Number theory,1106,number_theory
Graph traversal,899,graph
graphs,841,graph
Tree algorithms,837,tree_algorithms
Bit manipulation,832,bit_manipulation
sortings,809,sorting
Ad-hoc,775,ad_hoc
Strings,775,string
binary search,766,binary_search
Combinatorics,753,combinatorics
dfs and similar,667,graph
Dynamic Programming,606,dynamic_programming
strings,600,string
Mathematical,588,math
trees,575,trees
Amortized analysis,564,amortized_analysis
number theory,543,number_theory
Basic Maths,520,math
Geometry,506,geometry
combinatorics,461,combinatorics
Constructive,426,constructive
Greedy,397,greedy
two pointers,387,two_pointers
bitmasks,376,bitmasks
ad-hoc,361,ad_hoc
Matrices,360,matrices
Math,348,math
String,346,string
geometry,339,geometry
Array,322,array
Game theory,308,game_theory
Spanning trees,308,spanning_trees
Observation,296,observation
Range queries,273,range_queries
Probability,261,probability
Basic Programming Concepts,254,basic_programming_concepts
dsu,249,dsu
Divide and conquer,242,divide_and_conquer
Shortest paths,225,shortest_paths
Number Theory,217,number_theory
Puzzles,215,puzzles
*special,207,special
divide and conquer,202,divide_and_conquer
Bit Manipulation,198,bit_manipulation
shortest paths,196,shortest_paths
Binary Search,195,binary_search
Tree,181,tree
probabilities,165,probabilities
Matrix,161,matrix
Searching,160,searching
Recursion,159,recursion
Brute Force,157,brute_force
Flows and cuts,156,flows_and_cuts
games,155,games
hashing,151,hashing
Hash,142,hash
Conditional Statements,141,conditional_statements
DynamicProgramming,140,dynamicprogramming
Ad-Hoc,139,ad_hoc
Modular Arithmetic,139,modular_arithmetic
DFS,138,dfs
Graph Algos,122,graph_algos
Regular Expressions,121,regular_expressions
Stack,120,stack
Bit Magic,119,bit_magic
interactive,115,interactive
Simple Algos,109,simple_algos
Advanced Algorithms,108,advanced_algorithms
flows,108,flows
Graph,106,graph
Special,103,special
Bitwise Operation,102,bitwise_operation
Hash Table,102,hash_table
Linked List,94,linked_list
Segment trees revisited,94,segment_trees_revisited
matrices,93,matrices
Graphs,91,graphs
Prefix Sum,86,prefix_sum
BasicProgramming,85,basicprogramming
Case work,83,case_work
Traversals,82,traversals
DataStructures,81,datastructures
Polynomials and generating functions,81,polynomials_and_generating_functions
Advanced Data Structures,80,advanced_data_structures
BFS,80,bfs
Lists,80,lists
Algorithms - Dynamic Programming,79,algorithms_dynamic_programming
Arithmetic,79,arithmetic
string suffix structures,71,string_suffix_structures
1D Arrays,70,1d_arrays
Mathematics - Number Theory,70,mathematics_number_theory
GCD,69,gcd
Backtracking,66,backtracking
fft,65,fft
Game Theory,63,game_theory
Logic,63,logic
graph matchings,62,graph_matchings
Algorithms - Implementation,61,algorithms_implementation
Trees,60,trees
Binary Search Tree,59,binary_search_tree
Advanced Tree Structures,56,advanced_tree_structures
easy,55,easy
Integer Factorisation,54,integer_factorisation
Algorithms - Graph Theory,52,algorithms_graph_theory
Frequency Arrays,52,frequency_arrays
Prime Number,52,prime_number
Segment Trees,51,segment_trees
Mathematics - Combinatorics,50,mathematics_combinatorics
Performance,49,performance
maths,49,maths
Loops,48,loops
NumberTheory,48,numbertheory
GraphTheory,47,graphtheory
Numbers,46,numbers
Sets,46,sets
Games,45,games
ternary search,45,ternary_search
Algorithms - Strings,43,algorithms_strings
Two Pointers,43,two_pointers
Data Structures - Advanced,42,data_structures_advanced
Queue,42,queue
Hashing,40,hashing
Queues,39,queues
two-pointer-algorithm,39,two_pointer_algorithm
ASCII Art,38,ascii_art
Algebra,38,algebra
Binary,38,binary
Divide and Conquer,38,divide_and_conquer
Divisors,38,divisors
STL,38,stl
Sliding Window,38,sliding_window
BinarySearch,37,binarysearch
Maps,37,maps
number-theory,37,number_theory
meet-in-the-middle,36,meet_in_the_middle
Heap,35,heap
Sieve of Eratosthenes,35,sieve_of_eratosthenes
Queries,34,queries
DP Approach,33,dp_approach
Mathematics - Algebra,33,mathematics_algebra
expression parsing,33,expression_parsing
Mathematics - Fundamentals,32,mathematics_fundamentals
Two pointers,32,two_pointers
sliding-window,32,sliding_window
series,31,series
Algorithms - Game Theory,30,algorithms_game_theory
Misc,30,misc
dp & greedy,30,dp_greedy
sieve,30,sieve
2D Arrays,29,2d_arrays
Map,29,map
Mathematics - Geometry,29,mathematics_geometry
Modular Exponentiation,29,modular_exponentiation
Trie,29,trie
Advanced Data Structure,28,advanced_data_structure
Counting,28,counting
Expected Value,28,expected_value
easy-medium,28,easy_medium
Advanced DP,27,advanced_dp
Breadth-First Search,27,breadth_first_search
palindrome,27,palindrome
Algorithms - Bit Manipulation,26,algorithms_bit_manipulation
Debugging,26,debugging
Preprocessing,26,preprocessing
StringAlgorithms,26,stringalgorithms
cakewalk,26,cakewalk
Algorithms - Search,25,algorithms_search
Bitmask,25,bitmask
Memoization,25,memoization
Strong connectivity,25,strong_connectivity
Algorithms - Greedy,24,algorithms_greedy
Pre processing,24,pre_processing
Prime Divisors,24,prime_divisors
Combinatorial,23,combinatorial
Sequences and Progression,23,sequences_and_progression
Set Theory,23,set_theory
Simulation,23,simulation
Advanced Graph Algos,22,advanced_graph_algos
BruteForce,22,bruteforce
Hashmaps,22,hashmaps
Stacks,22,stacks
dynamic-programming,22,dynamic_programming
simple,22,simple
Cryptography,21,cryptography
Groupings,21,groupings
Mathematics - Probability,21,mathematics_probability
SegmentTrees,21,segmenttrees
Tree queries,21,tree_queries
prefix-sum,21,prefix_sum
2-sat,20,2_sat
Bottom-up,20,bottom_up
Date Time,20,date_time
Fenwick Trees,20,fenwick_trees
Heap (Priority Queue),20,heap_priority_queue
Integer Division,20,integer_division
Parsing,20,parsing
sorting,20,sorting
CPP,19,cpp
Challenge Problem,19,challenge_problem
Priority Queue,19,priority_queue
Square root algorithms,19,square_root_algorithms
permutation,19,permutation
Bitmasking,18,bitmasking
Depth-First Search,18,depth_first_search
Fibonacci,18,fibonacci
Geometric,18,geometric
Permutations,18,permutations
Permutations & Combinations,18,permutations_combinations
map,18,map
pattern-printing,18,pattern_printing
Computational Geometry,17,computational_geometry
Python - Regex and Parsing,17,python_regex_and_parsing
Sweep line algorithms,17,sweep_line_algorithms
cg,17,cg
